"","CD3","CD4","CD8a","CD11b","CD14","CD15","CD16","CD19","CD20","CD25","CD27","CD28","CD34","CD45RA","CD45RO","CD56","CD62L","CD69","CD80","CD86","CD127","CD137","CD197","CD274","CD278","CD335","PD.1","HLA.DR","TIGIT","cluster.info"
"1",25,164,16,3011,696,19,10,6,10,4,2,13,0,13,169,10,28,30,3,317,2,8,6,1,10,4,7,573,10,"CD14 Mono"
"2",959,720,8,12,12,9,4,5,6,2,491,127,0,243,12,10,46,5,0,2,37,0,10,3,121,5,17,15,3,"naive CD4 T"
"3",942,1647,21,11,13,8,7,0,7,4,66,307,0,14,251,4,6,16,2,3,117,7,15,4,92,12,39,11,3,"mem CD4 T"
"4",802,1666,5,11,9,8,3,3,9,46,509,192,0,12,119,6,5,13,3,6,157,3,3,5,44,6,15,19,3,"mem CD4 T"
"5",18,151,15,3018,583,17,1,5,16,15,7,9,0,22,95,8,10,24,4,161,4,2,10,3,3,5,4,441,3,"CD14 Mono"
"6",947,997,6,8,6,8,5,6,12,1,743,120,0,484,4,2,19,11,0,2,104,2,8,3,61,1,4,18,7,"naive CD4 T"
"7",560,1286,4,8,8,4,3,4,7,8,444,200,0,3,204,4,3,8,7,1,3,7,7,0,99,4,188,46,31,"mem CD4 T"
"8",17,157,8,183,38,10,35,2,3,7,4,19,1,1533,8,8,10,22,4,192,5,1,4,2,6,2,8,483,3,"CD14 Mono"
"9",707,1355,5,8,11,9,7,8,8,16,1076,128,0,66,58,6,46,13,3,4,53,4,25,1,92,8,6,20,2,"mem CD4 T"
"10",612,1355,7,6,11,16,4,5,12,9,449,388,0,16,172,6,37,9,4,5,151,5,7,5,252,3,22,10,5,"mem CD4 T"
"11",8,113,9,1906,491,9,3,3,8,7,8,11,0,10,68,2,32,16,0,108,1,2,4,4,1,3,5,215,4,"CD14 Mono"
"12",534,1106,5,4,10,11,3,3,7,129,513,132,0,110,16,4,106,10,1,1,21,4,17,2,47,2,5,10,0,"naive CD4 T"
"13",92,4,197,5,2,6,0,0,2,1,393,3,0,293,2,3,11,2,1,2,26,0,0,0,18,0,17,3,0,"CD8 T"
"14",471,793,1,6,7,7,2,1,6,5,474,48,0,102,20,3,16,4,1,3,1,3,5,2,20,2,1,13,0,"naive CD4 T"
"15",891,681,10,10,15,10,7,5,21,10,630,126,0,153,20,7,28,8,8,12,34,7,22,3,93,4,19,28,5,"naive CD4 T"
"16",526,803,1,8,10,5,1,3,4,3,471,111,0,108,21,5,37,5,0,3,33,1,19,5,46,5,6,7,1,"naive CD4 T"
"17",690,841,7,13,21,8,4,3,6,6,431,61,0,425,3,2,9,6,2,1,36,4,20,1,29,2,1,16,2,"naive CD4 T"
"18",42,360,7,10,11,11,0,1,13,4,4,22,0,34,21,3,24,6,5,136,3,4,3,2,6,2,4,2776,1,"DC"
